Question,Answer
Has the Ministry established a system to oversee tourism activities?,"Yes, the Ministry has issued regulations to inspect tourism activities allowing it to monitor the extent of compliance with the services provided by tourist activity practitioners, regulate violations, and issue penalties in accordance with the approved and relevant schedules of infractions and penalties."
Will the new criteria result in a reclassification of Tourism Accommodation Facilities?,"Yes, this is in line with the Tourism Accommodation Facilities Regulations, said facility’s types, and classification criteria. For further information, please refer to the Tourism Accommodation Facilities Regulations and classification criteria on the Ministry’s website via the following link: mt.gov.sa."
"What is the grace period initiated by the Ministry, and when does it end?","A grace period was granted to all licensees engaged in tourism activities, to enable them to adjust their status to comply with the Tourism Law and its executive regulations. This period ended on March 25, 2023."
What is the process for obtaining a license for a tourism activity?,"Those seeking to obtain a license for any tourism activity must apply through the licensing portal, which can be accessed via the following link: tlg.mt.gov.sa."
Does the Ministry charge a fee for issuing tourism-activity and service licenses?,"Yes, a fee is required for the issuance of licenses pertaining to tourism activities and services offered by the Ministry. The applicable fee is specified in the fee table annexed to the relevant regulations governing the activity, and it may vary based on the specific activity and the corresponding services. For further information, the Regulations and the attached fee table can be found on the MT website at: mt.gov.sa."
Which activity requires submitting a financial guarantee to obtain a license?,"The requirement to provide a financial guarantee is solely applicable to travel- and tourism-service activities, and is restricted to the following categories:•Tour Operation Category•General Travel and Tourism Services For further information, please refer to the service directory for Travel and Tourism Regulations on the Ministry’s website at: mt.gov.sa."
Which tourism activities require an office headquarters for obtaining a license?,"Several tourism activities are required to have an office headquarters to obtain a license, while others may have either an office headquarters or an electronic platform. For further information, please refer to the service directory or list of licensable activities on the Ministry website: mt.gov.sa."
Are there basic requirements to issue a license?,"Yes, various basic requirements for each tourism activity must be met to obtain a license. For further information, please visit the licensing portal on the Ministry website via mt.gov.sa."
What are the complaint submission channels available to tourists?,Through one of the following channels:• MT website.• Unified number 930.
Which tourism activities are granted licenses or permits by the Ministry of Tourism?,MT is responsible for granting licenses or permits to the following activities: 1. Travel And Tourism Services 2. Tourism Accommodation Facilities 3. Accommodation Facilities Management 4. Private Tourism Accommodation Facilities 5. Tourism Guidance 6. Tourism Consultancy 7. Experiential ActivitiesPlease refer to mandatory procedures and requirements for tourism activities on the 'Tourism Activities Licenses' page of the licensing portal via the following link: tlg.mt.gov.sa.
What is the process for obtaining a license?,"To apply for a license, please visit the licensing portal and submit the application in accordance with the conditions and requirements of the required activity. tlg.mt.gov.sa."
"Are there basic requirements to issue a license, what are they?","Yes, there are basic requirements to fulfill in order to obtain a license, including: • Commercial registration, except for tourism guidance and tourism consultancy for individuals.• Municipal license, except for tourism guidance and tourism consultancy for individuals.• Accounts on the Unified Access Service (Absher).• A National address. For further information, please refer to the licensing portal via tlg.mt.gov.sa."
Does the Ministry charge a fee for issuing licenses pertaining to tourism activities?,"Yes, the regulations and service guides for tourism activities clarify all conditions and requirements necessary for obtaining licenses, as well as service-associated fees. You can view the list of activities that require a license or the related service directory through the Ministry's website via mt.gov.sa."
Is the license fee a one-time payment or an annual payment?,"The fee for obtaining the license varies depending on the activity for which it is being issued and the chosen validity period.License renewal fees differ from license obtention. For further information, please refer to the regulations and the attached fee table on the Ministry website via mt.gov.sa."
Are financial guarantees required to obtain the license?,"To obtain a license for the Organized Tours Category and the General Travel and Tourism Services Category, a financial guarantee must be provided. For further information, you can refer to the Ministry's website to view the list of tourism activities that require a license, which is available on the license application or the service directory for the target activity to be licensed.mt.gov.sa."
Is it mandatory to have an office in order to obtain a license?,"It is a requirement to have an office when obtaining licenses for travel and tourism services, Tourism Accommodation Facilities management and tourism consultancy.Tourism consultancy offices and travel and tourism services that fall under the 'organized tours', 'travel and tourism agency' and 'reserving hospitality units' categories are only permitted to conduct their activities through electronic platforms. For further information, the tourism activity regulations or service directory of licensable activities can be found on the Ministry website: mt.gov.sa."
What is the process for printing the license for a tourism activity after it has been issued to the applicant?,"The license can be printed electronically by the licensee through their account on the Licensing Portal, which can be accessed via the following link: tlg.mt.gov.sa."
What is the process for issuing the license and classification for a Tourism Accommodation Facility?,The license and classification of the Tourism Accommodation Facility are issued only after tourism accommodation inspectors have submitted their reports. The classification is determined based on the findings of the report.
What is the process for an applicant to print the license and classification for a Tourism Accommodation Facility after it has been issued?,"The license or classification can be printed electronically by the licensee through their account on the Licensing Portal, which can be accessed through the following link: tlg.mt.gov.sa."
Is it allowed to practice tourism activities before obtaining the necessary license?,"It is strictly prohibited to engage in any tourism activity without obtaining the license of the chosen activity , or after the license has expired, been canceled, or suspended."
How to monitor tourism activities?,MT has issued inspection regulations to monitor the facilities’ compliance with requirements and criteria (Tourism Activities Inspection Regulations).
What are the implications of violating tourism activities requirements?,MT has issued regulations related to violations to ensure seamless facilities oversight.
What is a Tourism Accommodation Facility?,Any place operating on a permanent or temporary basis that provides accommodation for tourists in exchange for a fee.
How many types of Tourism Accommodation Facilities are there?,"Ten types of Tourism Accommodation Facilities have been approved and classified under the regulations as follows:1- Hotels2- Heritage Hotels3- Hotel Villas4- Apartment Hotels5- Serviced Apartments6- Holiday Houses (Chalets) 7- Resorts 8- Hostels9- Pop-up Accommodation Facilities10- CampsFor more information, you can refer to the Tourism Accommodation Facilities Services Guide on the Ministry’s website via mt.gov.sa."
How long is the Tourism Accommodation Facility license valid for?,"The license is valid from (3) months up to (3) years depending on the license applicant’s wish and the type of Tourism Accommodation Facility. For more information, please refer to the Tourism Accommodation Facilities Services Guide on the Ministry’s website via mt.gov.sa."
How to renew a Tourism Accommodation Facility license?,"Tourism Accommodation Facility licenses can be instantly renewed via the Ministry’s website upon payment of the fees and submission of all necessary undertakings.For more information, you can either refer to the Regulations or the Tourism Accommodation Facilities Services Guide on the Ministry’s website via mt.gov.sa."
Is it required to submit an electronic deed or lease agreement for the property when applying for a Tourism Accommodation Facility license?,No electronic deed or lease agreement is required when applying for the license.
Can tourists cancel their reservation in Tourism Accommodation Facilities and receive a refund?,"Cancelations and refunds are contingent on the policies outlined in the reservation document, which includes the process for submitting cancelation and modification requests, as well as the stipulated time frames for their acceptance or rejection."
Is an exemption from construction criteria possible when applying for a license or classification?,"Licensees holding a license issued by the Ministry of Tourism or a business license issued by the Ministry of Municipal and Rural Affairs and Housing for any type of Tourism Accommodation Facility before 19/5/1444 AH, may be exempt from the construction criteria when applying for a license or classification. Criteria that Tourism Accommodation Facilities can be exempt from can be found on the Ministry’s Classification Criteria page via mt.gov.sa"
What is a Private Tourism Accommodation Facility?,An independent furnished real estate unit owned by an individual licensed by the Ministry. That provides accommodation service for a tourist return for a fee.
How many permits can be issued for a private accommodation facility?,"• The maximum number of permits allowed for a single property is three (3). If any of the applicants has previously obtained more than eight (8) permits for Private Tourism Accommodation Facilities, with overlapping validity periods, they must submit a valid agreement for the management of these facilities with a Tourism Accommodation Facilities management service provider along with their permit application. For more information, you can refer to the Private Tourism Accommodation Facilities Services Guide on the Ministry’s website via mt.gov.sa."
How long is the Private Tourism Accommodation Facility permit valid for?,No more than (one year).
Is it required to submit a title deed or electronic lease agreement for the property when applying for a license?,"Yes, one of the requirements to apply for a Private Tourism Accommodation Facility license is to provide either a title deed or an electronic lease agreement as proof of ownership or use of the property."
What steps should be taken in the event of a hazard during a guided tour ?,"In the course of providing tourism guidance services, any safety or security incidents must be promptly reported to competent authorities and the Ministry through designated channels."
What are the sites where tourism guidance services are prohibited?,Providing tourism guidance services without the authorization of the competent authorities is strictly prohibited in the following sites:• Military zones • Border areas • Customs territories
Is it necessary to know English in order to obtain a license?,"No, it is not necessary to know English to obtain a license."
What is the minimum age required to apply for a tourism guidance license?,18 years old
What are the different tourism guidance license types?,"There are three license types available for tourism guides: - Track Guide - Specialist Guide - Site Guide For more information, you can refer to the Tourism Guidance Services Guide on the Ministry’s website via mt.gov.sa."
What are the different tourism consultancy licenses?,"There are two tourism consultancy license types available:1. Individual licenses, issued to individuals offering consultancy services.2. Office licenses, issued to business entities, which are required to submit a Commercial Register to the license applicant.For more information, you can refer to the Tourism Consultancy Services Guide on the Ministry’s website via mt.gov.sa."
Is providing an office a requirement in order to apply for an individual license?,"No, it is not a requirement, but rather an option left to the practitioner."
Can government employees apply for a tourism consultancy license?,"Yes, government employees may engage in professional activities, given that consultancy is considered an intellectual and technical profession, and does not fall within the scope of business."
What is meant by experiential activities?,An activity that does not fall under the jurisdiction or supervision of a specific entity and is predominantly touristic.
Are there any fees to be paid for the issuance of an experiential activity permit?,There are no fees to be paid.
Are there key requirements that need to be met when requesting to practice experiential activities for the first time?,"Yes, there are key requirements: 1. Submit a study including international best practices relevant to the experiential activity - if any. 2. Submit a financial feasibility study on the activity. 3. Submit an evaluation plan for the activity, that includes the implementation phases, timeline, and approach for achieving the targeted outcomes. 4. Submit an exit plan that includes the potential final phases. For more information, you can refer to the Experiential Activities Services Guide on the Ministry’s website at: mt.gov.sa."
When are experiential activities suspended?,"The Ministry shall suspend experiential activities in the following cases: 1. If the activity achieves the expected outcomes, in view of its adoption as a tourism activity, it will be granted a license by the Ministry. 2. If the activity did not achieve the expected outcomes. For more information, you can refer to the Experiential Activities Services Guide on the Ministry’s website via mt.gov.sa."
Are there different types of Travel and Tourism Services?,"Yes, the different Travel and Tourism Services types are: 1. Accommodation Unit Booking 2. Tour Operation 3. Travel and Tourism Agencies 4. General Travel and Tourism Services For more information, you can refer to the Travel and Tourism Services Guide on the Ministry’s website via mt.gov.sa."
Are there travel and tourism licenses for branch offices? Are there any fees required?,"A license shall be obtained for each branch office and shall be of the same class as the head office’s. Fees are required to be paid for each license issued to a branch office. For more information, you can refer to the Travel and Tourism Services Guide on the Ministry’s website via: mt.gov.sa."
Are there any financial guarantees required to be submitted upon the issuance of the branch office license?,Branch offices do not require financial guarantees as the ones provided upon the issuance of the head office license are sufficient.
What is meant by Tourism Accommodation Facilities Management?,"It covers providing support services to Tourism Accommodation Facility and Private Tourism Accommodation Facility operators based on specialized technical experience in managing facilities, services, and skills that are compatible with the facility’s type, category, and class."
Are there key requirements that need to be met when applying for a Tourism Accommodation Facilities Management license?,"Yes, the key requirements when applying for a license are:• A valid commercial register for managing Tourism Accommodation Facilities.• A valid license from MoMRAH • Proof of experience as per the required category, provided that it is certified in the event that the experience was earned abroad.• Documents related to the mechanisms of Tourism Accommodation Facilities Management, as defined by the Ministry.• The applicant’s official data, as well as that of their representatives in dealing with the Ministry regarding the activity, if any, and office data. • Proof of the right to use the trademark, if any.For more information, you can refer to the Tourism Accommodation Facilities Management Services Guide on the Ministry’s website via mt.gov.sa"
Is experience required to obtain a Tourism Accommodation Facilities Management license?,"Yes, experience is required as per the relevant category to obtain a license. For more information, you can refer to the Tourism Accommodation Facilities Management Services Guide on the Ministry’s website via mt.gov.sa"
Are there different categories of Tourism Accommodation Facilities Management licenses?,"Yes, there are four different categories of licenses: Category (A) - Category (B) - Category (C) - Category (D), which determine the types of accommodation facilities to be managed. For more information, you can refer to the Tourism Accommodation Facilities Management Services Guide on the Ministry’s website via mt.gov.sa"
How does the license applicant provide proof of experience?,"The Tourism Accommodation Facilities Management license applicant must provide proof of experience by submitting a previous license that includes the number of years proving said experience, and the name of the institution or company at the time of submission of the license application. These must be similar to its name when practicing the previous activity."
Is it required to have experience within the Kingdom?,"No, experience is not required to be within the Kingdom, but must be certified if gained abroad."
Are there key requirements that need to be met by employees who work with a Tourism Accommodation Facilities Management licensee?,"Yes, there are requirements that need to be met to ensure the efficiency of all employees working for the licensee."
How do I know if I am eligible for the tourist eVisa?,Everyone is welcome to apply for the tourist visa which can be issued as an eVisa. visa on arrival or through the embassy. You can check your eligibility for the tourist eVisa through the Visa Requirements page for more information. 
Can I perform Umrah or Hajj with the tourist visa?,You can use the tourist visa to perform Umrah but not during the Hajj season. Visitors  may apply for Umrah or Ziyarah permits via Nusuk platform. To perform Hajj. tourists must apply for a specific Hajj visa through the Ministry of Hajj and Umrah.
Do I need the medical insurance to apply for tourist visa?,A health insurance policy. which covers COVID-19 medical treatment is issued along with your eVisa and its cost is included within the eVisa fee. Medical insurance coverage is valid for one year from the date of issue. It matches the validity of the tourist visa (one year from the date of issue).You can enquire about your health insurance policy and health care service providers from the Council of Health Insurance.
How much does a tourist eVisa cost?,The tourist visa cost varies. You check the cost on the Visa Requirement page for more information on the application process and costs. 
Can tourist visa holders visit Makkah and Medina?,The holy cities of Makkah and Medina are reserved for Muslim visitors only where millions of Muslim pilgrims perform Hajj and Umrah each year. However there are many sites around the two holy cities which offer a fascinating glimpse into local culture and history and are open to everyone.
My country is not included in the tourist eVisa program. Can I still apply for a tourist visa?,Everyone is welcome to apply for the tourist visa which can be issued as an eVisa visa on arrival or through the embassy. You can check available methods to apply for a trourist visa on the Visa Requirement page.
Can I cancel my eVisa or get a refund if my eVisa is rejected?,No the tourist visa fees are non-refundable in any case as described in Clause 5.3 of the Terms and Conditions.
Can tourist visa holders enter Saudi Arabia through land ports?,Yes tourists with an eVisa can come in from any formal port of entry.
Can I get a visa on arrival when traveling to Saudi?,The tourist visa can be issued as an eVisa visa on arrival or through the embassy. You can check your eligibility for the visa on arrival through the Visa Requirement page.
How can I apply for the Transit visa?,Visitors can obtain the transit visa ahead of time through the embassy or electronically while booking flights through SAUDIA or Flynas. 
I hold a Schengen / UK / US visa. Can I get a tourist visa on arrival in Saudi Arabia?,Yes USA UK and Schengen tourist or business visa holders are eligible for Saudi tourist visa on arrival. Please check the Visa requirement page for more information.
My flight has a stops-over in Saudi Arabia do I need to apply for a transit visa?,If you are planning to enter Saudi Arabia on your way to your final destination you need to apply for a transit visa. The transit visa can be obtained ahead of time through the embassy or electronically while booking your flights on SAUDIA or Flynas.
I have a permanent residency permit from the UK US or the EU. Can I apply for a visa on arrival?,Yes U.K U.S. and EU permanent residents are eligible for Saudi tourist visa on arrival. Please check the Visa requirement page for more information.
I'm not planning on visiting Saudi Arabia but my flight stops in the country do I still need a transit visa?,A transit visa will be required if the traveler plans to exit the transit area and pass through immigration.If you have two separate bookings while transiting through Saudi Arabia which requires you to pass through immigration you must obtain a transit visa to enter the country and check-in again for your next flight.However If you have one booking transiting through Saudi Arabia which does not require you to pass through immigration you do not need to obtain a transit visa as you don't need to check-in for the next flight.
Can I enter Saudi Arabia as a tourist?,Yes you can. Saudi Arabia has opened its doors to the world through the tourist visa. You are welcome to discover the warm hospitality of Saudi people the rich heritage vibrant culture and diverse and breathtaking landscapes.The tourist visa can be issued as an eVisa visa on arrival or through the embassy and you can enter Saudi through land sea and air ports. Please check the Visa Requirements page for more information. 
Is Saudi Arabia safe?,Saudi Arabia is a very safe country with a welcoming culture and low crime rate. Citizens’ and visitors’ safety dignity and well-being are protected by the law.
Is alcohol available in Saudi Arabia?,No. The consumption of alcohol is illegal in Saudi Arabia. Saudi Arabia offers a unique and authentic experiences. Explorers culture enthusiasts and adventurers will be able to enjoy these without alcohol.
Are LGBT visitors welcome to visit Saudi Arabia?,Everyone is welcome to visit Saudi Arabia and visitors are not asked to disclose such personal details.
Are unmarried couples welcome to visit Saudi Arabia?,Everyone is welcome to visit Saudi Arabia. As is the case when visiting other countries. it is important to respect local customs and act in a culturally appropriate manner. Unmarried couples are able to share accommodation. More details can be found on the Visit Saudi Laws & Etiquette guide.
Is it possible for women to wear swimsuits in public?,As is the case when visiting other countries. it is important to respect local customs and act in a culturally appropriate manner. On public beaches visitors are expected to wear modest clothing. On private beaches spas- pools and cruises it is within the discretion of each private establishment to determine its policy.More details can be found on the Visit Saudi Laws & Etiquette guide.
Can I fly drones in Saudi Arabia?,Tourists are not permitted to fly drones in the Kingdom.Residents and Saudi Citizens can fly drones based on permit approvals.To apply for a permit please register your request on the General Authority of Civil Aviation website
I am a GCC resident how do I obtain the medical insurance when applying for the tourist visa?,You will obtain the medical insurance as a part of the tourist visa application process. 
I am a GCC resident am I eligible for the tourist visa?,Yes. GCC residents are welcome to apply for the tourist visa which can be issued as an eVisa visa on arrival or through the embassy. You can check your eligibility for an eVisa through the Visa Requirements page. 
What is the duration of stay for the tourist visa?,The tourist visa is a multiple entry visa which is valid for one year and permits 90 days period of stay. Please check the Visa requirement page for more information. 
I have a GCC residency can my family apply for the tourist visa?,Yes you can apply for first-degree family members (husband- wife-parents and children) using your account after you submit your application. 
